BusGroup,Feature,EventType,BinaryClass,Mean,Median,IQR,Minimum,Maximum,Count
Other feasible single-WMU buses,FaultScore,SSO_SLG_Fault,Fault,0.9279459768128512,0.9443951353738841,0.05406373724722835,0.7368733476562199,1.0,150
Other feasible single-WMU buses,FaultScore,SSO_ThreePhase_Fault,Fault,0.9479774588234795,0.9495041495225465,0.03859109499665203,0.8182850234963802,1.0,150
Other feasible single-WMU buses,I RMS jump,SSO_LoadSwitch,Non-fault,0.0015013389152839056,0.0007806302872969,0.0008849028608932,7.019516649683574e-06,0.0133523944525212,105
Other feasible single-WMU buses,I RMS jump,SSO_Normal,Non-fault,0.0031713965156218204,0.0036103046409875,0.0024043301390616998,0.0004667526976449,0.0047714688964562,15
Other feasible single-WMU buses,I RMS jump,SSO_SLG_Fault,Fault,0.16862126663266463,0.05115993570411105,0.14789343148547265,1.0513770557461777e-05,4.085915837017891,150
Other feasible single-WMU buses,I RMS jump,SSO_ThreePhase_Fault,Fault,1.1575841698758018,0.06659787747268356,0.1488478702432257,0.001982101963349,143.59830029451084,150
Other feasible single-WMU buses,I0 ratio,SSO_LoadSwitch,Non-fault,0.0002614973027849743,0.0003022667395433,0.000139192138319,1.6446954122959325e-05,0.0004142956888428,105
Other feasible single-WMU buses,I0 ratio,SSO_Normal,Non-fault,0.0002614236915570301,0.0003030409523702,0.0001466460058778,1.647134618335081e-05,0.00039319600259,15
Other feasible single-WMU buses,I0 ratio,SSO_SLG_Fault,Fault,0.5649962969272918,0.6902055459023618,0.5950439519870528,0.0455325685000565,0.9816265968762746,150
Other feasible single-WMU buses,I0 ratio,SSO_ThreePhase_Fault,Fault,0.07014641609664793,0.07047204163215445,0.035937432687153506,0.0025045464003899,0.3068268669588625,150
Other feasible single-WMU buses,I2 ratio,SSO_LoadSwitch,Non-fault,0.0007522030729585476,0.0005911751151444,0.0004021038630765,0.000263869263792,0.0036069429750994,105
Other feasible single-WMU buses,I2 ratio,SSO_Normal,Non-fault,0.0014651692234693198,0.0013750516223697,0.0018114597969136003,0.0002341419351754,0.0034098102817101,15
Other feasible single-WMU buses,I2 ratio,SSO_SLG_Fault,Fault,0.7064329178932883,0.7137863907953516,0.8369360373931651,0.0367617528445124,3.990947578618503,150
Other feasible single-WMU buses,I2 ratio,SSO_ThreePhase_Fault,Fault,0.04102781333229272,0.01314225049429515,0.020643603876824998,2.7768719318456462e-05,1.4923404463107282,150
Other feasible single-WMU buses,Maximum sag,SSO_LoadSwitch,Non-fault,0.0035520649463106698,0.0030684779111623,0.0020628993535294,0.0018844406393307,0.0083830050344234,105
Other feasible single-WMU buses,Maximum sag,SSO_Normal,Non-fault,0.0,0.0,0.0,0.0,0.0,15
Other feasible single-WMU buses,Maximum sag,SSO_SLG_Fault,Fault,0.41159270892789207,0.39308722859832823,0.23795610356090013,0.0913741690910135,0.9717748739288504,150
Other feasible single-WMU buses,Maximum sag,SSO_ThreePhase_Fault,Fault,0.42856839049183926,0.39287800680829094,0.22949870309542098,0.0955257906975634,0.9974325547891704,150
Other feasible single-WMU buses,Switching-window dV energy,SSO_LoadSwitch,Non-fault,0.012260968368342399,0.0118658357369377,0.0007710283952287993,0.0114207524843259,0.0143938195174265,105
Other feasible single-WMU buses,Switching-window dV energy,SSO_Normal,Non-fault,0.01018873605490338,0.0098934806588216,0.0005676053149799003,0.0095669089751006,0.0116015934960124,15
